model,unfairness_metric,iteration,unfairness,,auc,,unfairness_weight,unfairness_scaled,auc_scaled,protected_column_selected_prop
LogisticRegression,overall_accuracy_equality,42,0.030215598,0.415748129,0.539833881,0.71326012,1,0.415748129,0.71326012,0.75
LogisticRegression,overall_accuracy_equality,43,0.030293781,0.440278436,0.539947015,0.798329524,1,0.440278436,0.798329524,0.5
LogisticRegression,overall_accuracy_equality,44,0.029965448,0.337262118,0.540113894,0.923810423,1,0.337262118,0.923810423,0.5
LogisticRegression,overall_accuracy_equality,45,0.030927677,0.639167017,0.539650386,0.57528497,1,0.639167017,0.57528497,0.5
LogisticRegression,overall_accuracy_equality,46,0.030847237,0.613928425,0.539936606,0.790502375,1,0.613928425,0.790502375,0.75
LogisticRegression,overall_accuracy_equality,47,0.031353358,0.772726535,0.539679705,0.597330835,1,0.772726535,0.597330835,0.75
LogisticRegression,overall_accuracy_equality,48,0.029665094,0.243024571,0.539847578,0.723559274,1,0.243024571,0.723559274,0.25
LogisticRegression,overall_accuracy_equality,49,0.030451374,0.489724367,0.539720832,0.628255411,1,0.489724367,0.628255411,0.25
LogisticRegression,overall_accuracy_equality,50,0.030390969,0.470771928,0.539821378,0.70385872,1,0.470771928,0.70385872,0.25
LogisticRegression,overall_accuracy_equality,51,0.031974176,0.967511617,0.539377483,0.370080435,1,0.967511617,0.370080435,0.5
LogisticRegression,overall_accuracy_equality,52,0.029858406,0.303677289,0.53971601,0.624629564,1,0.303677289,0.624629564,0.25
LogisticRegression,overall_accuracy_equality,53,0.030175415,0.403140555,0.539974854,0.81926203,1,0.403140555,0.81926203,0.5
LogisticRegression,overall_accuracy_equality,54,0.030000202,0.348166412,0.539517713,0.475523788,1,0.348166412,0.475523788,0.75
LogisticRegression,overall_accuracy_equality,55,0.030400241,0.473680957,0.539498088,0.460767358,1,0.473680957,0.460767358,0.5
LogisticRegression,overall_accuracy_equality,56,0.02913556,0.076880216,0.53973294,0.637359839,1,0.076880216,0.637359839,0.75
LogisticRegression,overall_accuracy_equality,57,0.030467821,0.494884666,0.539665895,0.586946422,1,0.494884666,0.586946422,0.75
LogisticRegression,overall_accuracy_equality,58,0.030053177,0.364787689,0.539831554,0.711510338,1,0.364787689,0.711510338,0.25
LogisticRegression,overall_accuracy_equality,59,0.030558977,0.523485281,0.539867578,0.738597839,1,0.523485281,0.738597839,0.5
LogisticRegression,overall_accuracy_equality,60,0.030427075,0.482100191,0.539813229,0.697731253,1,0.482100191,0.697731253,0.5
LogisticRegression,overall_accuracy_equality,61,0.029991628,0.345476376,0.539914829,0.774127909,1,0.345476376,0.774127909,0.25
LogisticRegression,overall_accuracy_equality,62,0.030111657,0.383136039,0.539845688,0.722138646,1,0.383136039,0.722138646,0.5
LogisticRegression,overall_accuracy_equality,63,0.030177822,0.403895686,0.540039914,0.86818248,1,0.403895686,0.86818248,0
LogisticRegression,overall_accuracy_equality,64,0.029415038,0.164568199,0.539732444,0.636986964,1,0.164568199,0.636986964,0.75
LogisticRegression,overall_accuracy_equality,65,0.030470854,0.495836146,0.539925969,0.782504133,1,0.495836146,0.782504133,0.25
LogisticRegression,overall_accuracy_equality,66,0.030657516,0.554402545,0.539710513,0.6204965,1,0.554402545,0.6204965,0.5
LogisticRegression,overall_accuracy_equality,67,0.03023953,0.423256847,0.539436953,0.41479775,1,0.423256847,0.41479775,0.5
LogisticRegression,overall_accuracy_equality,68,0.03018813,0.407129893,0.53938465,0.375469719,1,0.407129893,0.375469719,0.5
LogisticRegression,overall_accuracy_equality,69,0.030274753,0.434308285,0.539841732,0.71916401,1,0.434308285,0.71916401,0.5
LogisticRegression,overall_accuracy_equality,70,0.029895138,0.315202116,0.539619509,0.552067852,1,0.315202116,0.552067852,0.75
LogisticRegression,overall_accuracy_equality,71,0.029752083,0.270317743,0.539641345,0.568486719,1,0.270317743,0.568486719,0.75
LogisticRegression,overall_accuracy_equality,72,0.030599843,0.536307336,0.539643119,0.569820589,1,0.536307336,0.569820589,0.75
LogisticRegression,overall_accuracy_equality,73,0.02921064,0.100436968,0.54001992,0.853148538,1,0.100436968,0.853148538,0.25
LogisticRegression,overall_accuracy_equality,74,0.029782782,0.279949836,0.539833931,0.713297931,1,0.279949836,0.713297931,0.5
LogisticRegression,overall_accuracy_equality,75,0.030438598,0.485715594,0.539608457,0.543757397,1,0.485715594,0.543757397,0.5
LogisticRegression,overall_accuracy_equality,76,0.030443038,0.487108857,0.539932717,0.787577807,1,0.487108857,0.787577807,0.5
LogisticRegression,overall_accuracy_equality,77,0.029978513,0.34136151,0.53957281,0.516953104,1,0.34136151,0.516953104,0.25
LogisticRegression,overall_accuracy_equality,78,0.029193185,0.094960607,0.539547228,0.49771731,1,0.094960607,0.49771731,0.75
LogisticRegression,overall_accuracy_equality,79,0.029700768,0.254217403,0.539771791,0.66657316,1,0.254217403,0.66657316,0.5
LogisticRegression,overall_accuracy_equality,80,0.030810659,0.602452,0.539862448,0.734740912,1,0.602452,0.734740912,0.5
LogisticRegression,overall_accuracy_equality,81,0.030497303,0.504134549,0.539899445,0.762560178,1,0.504134549,0.762560178,0.5
LogisticRegression,overall_accuracy_equality,82,0.030364388,0.462431848,0.539701737,0.613897524,1,0.462431848,0.613897524,0.25
LogisticRegression,overall_accuracy_equality,83,0.029776029,0.277830945,0.539576317,0.519590417,1,0.277830945,0.519590417,0.5
LogisticRegression,overall_accuracy_equality,84,0.029448815,0.175165668,0.540014033,0.848722286,1,0.175165668,0.848722286,0.5
LogisticRegression,overall_accuracy_equality,85,0.028890527,0,0.539959009,0.807347699,1,0,0.807347699,0.75
LogisticRegression,overall_accuracy_equality,86,0.030816854,0.604395713,0.539951603,0.801779024,1,0.604395713,0.801779024,0.5
LogisticRegression,overall_accuracy_equality,87,0.030420875,0.480155001,0.539722312,0.629368023,1,0.480155001,0.629368023,0.5
LogisticRegression,overall_accuracy_equality,88,0.030858227,0.617376713,0.539752827,0.652313491,1,0.617376713,0.652313491,0.5
LogisticRegression,overall_accuracy_equality,89,0.029443111,0.173376011,0.539552172,0.501434481,1,0.173376011,0.501434481,0.5
LogisticRegression,overall_accuracy_equality,90,0.030512434,0.508882216,0.540022981,0.855450267,1,0.508882216,0.855450267,0.25
LogisticRegression,overall_accuracy_equality,91,0.030353491,0.459012913,0.539800844,0.688418495,1,0.459012913,0.688418495,0.5
LogisticRegression,overall_accuracy_equality,92,0.030821235,0.605770214,0.539674904,0.59372089,1,0.605770214,0.59372089,0.5
LogisticRegression,overall_accuracy_equality,93,0.030551006,0.520984304,0.53983005,0.710379325,1,0.520984304,0.710379325,0.5
LogisticRegression,overall_accuracy_equality,94,0.030389679,0.470367091,0.539468661,0.438640242,1,0.470367091,0.438640242,0.75
LogisticRegression,overall_accuracy_equality,95,0.02956142,0.210496392,0.539622216,0.554103112,1,0.210496392,0.554103112,0.25
LogisticRegression,overall_accuracy_equality,96,0.029690096,0.250869188,0.5396001,0.537473048,1,0.250869188,0.537473048,0.5
LogisticRegression,overall_accuracy_equality,97,0.029759608,0.272678961,0.539966636,0.813082762,1,0.272678961,0.813082762,0.75
LogisticRegression,overall_accuracy_equality,98,0.031018558,0.667681189,0.53950076,0.462776235,1,0.667681189,0.462776235,0.5
LogisticRegression,overall_accuracy_equality,99,0.030495643,0.503613869,0.539558133,0.50591707,1,0.503613869,0.50591707,0.5
LogisticRegression,overall_accuracy_equality,100,0.029923942,0.324239573,0.539703374,0.61512821,1,0.324239573,0.61512821,0.5
LogisticRegression,overall_accuracy_equality,1,0.03032634,0.450494017,0.539811321,0.696297121,2,0.450494017,0.696297121,0.25
LogisticRegression,overall_accuracy_equality,2,0.030613084,0.540461644,0.539472426,0.441470965,2,0.540461644,0.441470965,0.5
LogisticRegression,overall_accuracy_equality,3,0.029291527,0.125815679,0.539813028,0.697580564,2,0.125815679,0.697580564,0.25
LogisticRegression,overall_accuracy_equality,4,0.030889184,0.62708951,0.539803501,0.690416612,2,0.62708951,0.690416612,0.5
LogisticRegression,overall_accuracy_equality,5,0.030373491,0.465288085,0.539344986,0.345645024,2,0.465288085,0.345645024,1
LogisticRegression,overall_accuracy_equality,6,0.030557729,0.523093784,0.53952699,0.482499868,2,0.523093784,0.482499868,0.25
LogisticRegression,overall_accuracy_equality,7,0.030775228,0.591335329,0.539440367,0.417365435,2,0.591335329,0.417365435,0.75
LogisticRegression,overall_accuracy_equality,8,0.030797919,0.598454585,0.539681996,0.599053298,2,0.598454585,0.599053298,0.5
LogisticRegression,overall_accuracy_equality,9,0.030193086,0.408684783,0.540052536,0.877673354,2,0.408684783,0.877673354,0.5
LogisticRegression,overall_accuracy_equality,10,0.03034026,0.454861555,0.539525639,0.48148416,2,0.454861555,0.48148416,0.5
LogisticRegression,overall_accuracy_equality,11,0.029959267,0.335322878,0.539682856,0.599699679,2,0.335322878,0.599699679,0.5
LogisticRegression,overall_accuracy_equality,12,0.030248586,0.426098496,0.539809095,0.694623024,2,0.426098496,0.694623024,0.75
LogisticRegression,overall_accuracy_equality,13,0.030260539,0.429848557,0.539745376,0.646710934,2,0.429848557,0.646710934,0.25
LogisticRegression,overall_accuracy_equality,14,0.030261014,0.429997733,0.539882018,0.74945634,2,0.429997733,0.74945634,0.5
LogisticRegression,overall_accuracy_equality,15,0.029619925,0.228852426,0.539678402,0.59635093,2,0.228852426,0.59635093,0.25
LogisticRegression,overall_accuracy_equality,16,0.029872106,0.307975624,0.539487442,0.452762361,2,0.307975624,0.452762361,0.5
LogisticRegression,overall_accuracy_equality,17,0.030602069,0.537005485,0.539451417,0.425673771,2,0.537005485,0.425673771,0.5
LogisticRegression,overall_accuracy_equality,18,0.029530611,0.20082967,0.539836377,0.715137403,2,0.20082967,0.715137403,0.5
LogisticRegression,overall_accuracy_equality,19,0.030497718,0.504264999,0.539795527,0.68442113,2,0.504264999,0.68442113,0.5
